season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,663743,68,-0.03894933103858045,-0.08234126984126983,-0.03195580259238456,0.027468626581008848
2024,663757,67,0.032727163748396015,-0.07286914765906366,-0.01304004297664868,0.04218995960436239
2024,663837,72,0.0041366960409179865,-0.06111853206831724,-0.01255432482100538,0.03733620656274128
2024,663853,53,0.06196049785086727,-0.04423117655911074,0.019273668891570117,0.09260109630217994
2024,663886,77,-0.001337366646100624,-0.0621171387397732,-0.014373423637025928,0.03769560958259249
2024,663898,91,0.0008379335344083083,-0.07024910576947668,-0.01981267877720083,0.031294472427095155
2024,663993,96,-0.024100887855008135,-0.07055789967182372,-0.021521012725813138,0.029463553171996948
2024,664023,101,-0.0004688131189062861,-0.06597710179790106,-0.019200032928616773,0.026324817805480794
2024,664034,87,-0.03915585349241768,-0.06609761206535397,-0.020401438266728023,0.018944280082137666
2024,664040,79,0.008171696362973768,-0.0621171387397732,-0.01452198062171306,0.027087720178904984
2024,664056,83,-0.015947487141740047,-0.06440760294961762,-0.00462199739038982,0.038819838656040634
2024,664238,72,0.004276075598775908,-0.0766116213352172,-0.016720473132004032,0.04218995960436239
2024,664728,67,0.01472699139180278,-0.05516448406677482,0.00497469246600224,0.06501223144610035
2024,664761,87,0.014486544444636429,-0.05411348996588894,-0.008401321904368486,0.04302278799856374
2024,664774,64,-0.006077818085460263,-0.06086888040045335,-0.014706600222414101,0.04218995960436239
