pick_type,target_player,target_mlbam,analog_player,analog_mlbam,season,cosine_sim,first22_woba,first22_xwoba_gap,ros_woba,ros_delta_vs_prior,ros_iso,ros_k_rate
sleeper,Samuel Basallo,694212,Brad Miller,543543,2018,0.8418282682437526,0.32371794871794873,0.046900512820512774,0.33641618497109826,0.007231980958771589,0.16049382716049382,0.3502824858757062
sleeper,Samuel Basallo,694212,Jay Bruce,457803,2015,0.8326632551791102,0.3252941176470588,0.028907247058823582,0.3269016697588126,0.05971407748194957,0.20628683693516697,0.21314387211367672
sleeper,Samuel Basallo,694212,Pedro Álvarez,476883,2016,0.8186384217265027,0.31575342465753425,0.022042739726027383,0.37592592592592594,0.029979979979979976,0.2737226277372263,0.2724252491694352
sleeper,Coby Mayo,691723,Seth Brown,664913,2022,0.8025233188374636,0.25921052631578945,0.04641030309669636,0.3412631578947368,0.11468389000349977,0.22401847575057734,0.2567849686847599
sleeper,Coby Mayo,691723,Gregory Polanco,570256,2021,0.7666979201048836,0.3092592592592593,0.03614884889237063,0.27794612794612794,-0.019457110006947775,0.14068441064638784,0.26666666666666666
sleeper,Coby Mayo,691723,Jorge Soler,624585,2021,0.7649980047890277,0.2994117647058823,0.053226308921962395,0.3492248062015504,-0.022256836752551967,0.21748878923766818,0.22437137330754353
sleeper,Coby Mayo,691723,Cal Raleigh,663728,2022,0.7606168561246852,0.2641891891891892,0.011815034119462664,0.35087976539589444,0.10560949512562418,0.29605263157894735,0.2756598240469208
sleeper,Coby Mayo,691723,Alex Jackson,656577,2021,0.7520586023999603,0.2619402985074627,-0.014860836769671842,0.21626506024096384,0.010709504685408294,0.0410958904109589,0.5180722891566265
sleeper,Brady House,691781,Riley Greene,682985,2023,0.8405343811862135,0.2849462365591398,0.012545226206290672,0.3771028037383177,0.06484318835370234,0.17123287671232873,0.25077399380804954
sleeper,Brady House,691781,Eloy Jiménez,650391,2019,0.8321777157436328,0.2842696629213483,0.009468438202247187,0.3768674698795181,0.1238774524073632,0.2701298701298701,0.26024096385542167
sleeper,Brady House,691781,Jeimer Candelario,600869,2019,0.8235192001757463,0.29193548387096774,0.0058018924731182975,0.30343642611683846,-0.0059852833783702875,0.15139442231075695,0.25
sleeper,Brady House,691781,Brendan Rodgers,663898,2023,0.8044826928901748,0.23978494623655916,0.05273627456660823,0.38826530612244897,0.10683972990991014,0.18085106382978722,0.1485148514851485
sleeper,Brady House,691781,Brett Lawrie,543434,2015,0.8031474087410855,0.2761363636363636,0.002953931818181821,0.34398797595190383,0.07680038367504083,0.15625,0.228515625
sleeper,Dillon Dingler,693307,Leonys Martín,547982,2018,0.9102128196567485,0.38645833333333335,0.03193630208333337,0.3338,0.057436810347787304,0.14912280701754388,0.23137254901960785
sleeper,Dillon Dingler,693307,Corey Seager,608369,2020,0.8766618309097362,0.4,0.059016107526881745,0.4264705882352941,0.06357348303385235,0.28455284552845533,0.18248175182481752
sleeper,Dillon Dingler,693307,Rowdy Tellez,642133,2022,0.8704856108377679,0.36666666666666664,0.0447737880585084,0.33575581395348836,-0.016864760073953988,0.2413793103448276,0.20342205323193915
sleeper,Dillon Dingler,693307,Jonah Heim,641680,2023,0.8682242502149071,0.37916666666666665,0.035593294077487625,0.3254830917874396,0.05045445656686859,0.16883116883116883,0.19664268585131894
